Id|ResultCodes|DupeGroup|Key
23|MS01|107|US 014989654 1664 QUEENSGRAN 
21|MS01|108|US 016101056 7331 SPINDLE 
26|MS01|109|US 016101056 3858 BRANCHWOOD 
31|MS02,MS07|110|US 016101056 356 
36|MS03,MS06,MS07|110|US 016101056 608 GLENEALGE 356 
44|MS03,MS06|110|US 016101056 608 GLENEALGE 
1|MS02,MS06|111|US 074521658 1045 BUSH 
3|MS03,MS06|111|US 074521658 1045 BUSH 
5|MS01|112|US 074545470 778 DEVONSHIRE 
9|MS01|113|US 074921272 1634 QUEENS 
16|MS01|114|US 076387258 4624 HEADLANDS 
32|MS01|115|US 076583492 8295 SAILMASTER 
34|MS01|116|US 090365418 5239 MAYFLOWER 
45|MS01|117|US 092723832 7803 PHILLIPSHI 
24|MS01|118|US 101452969 308 STONESTHRO 
46|MS01|119|US 101878963 6117 BUSH 
40|MS01|120|US 189036383 5820 SHOREWOOD 
43|MS01|121|US 301050187 183 TANGLEWOOD 
29|MS01|122|US 385456903 1115 PHILLIPSHI 
50|MS01|123|US 414941074 3562 OUTPOST 
12|MS01|124|US 432921412 1141 PORTTACK 
19|MS01|125|US 432987452 7087 RIVER 
41|MS01|126|US 434187650 8643 PALMETTOBA 
42|MS01|127|US 452981852 2112 MARINERS 
25|MS01|128|US 472989452 8355 WREN 
47|MS01|129|US 474329276 9573 HABERNATHY 
28|MS01|130|US 496903830 755 WOODDUCK 
20|MS01|131|US 549670541 2910 WINDFLOWER 
33|MS01|132|US 581098967 6646 OYSTERCATC 
35|MS01|133|US 587412965 9818 SURF 
13|MS01|134|US 743836189 5149 LIVEOAK 
2|MS02,MS06|135|US 761090565 9187 QUEENS 
4|MS03,MS06|135|US 761090565 9187 QUEENS 
6|MS01|136|US 761674369 5328 BAYNARDPAR 
10|MS01|137|US 761832129 7797 BEARCREEK 
17|MS01|138|US 763074987 8382 SCARBOROUG 
38|MS01|139|US 763276941 1011 SPINDLE 
30|MS01|140|US 767872789 8910 SURF 
8|MS01|141|US 785290109 6238 DOLPHIN 
15|MS01|142|US 787014965 2128 PINTO 
27|MS01|143|US 812181074 6465 WREN 
48|MS01|144|US 890521258 1186 DEER 
22|MS01|145|US 903052143 7336 CAPTAINS 
7|MS01|146|US 907636169 7498 RIVER 
11|MS01|147|US 909696523 3706 WOODDUCK 
18|MS01|148|US 909810301 4072 SQUIREPOPE 
39|MS01|149|US 909878781 2058 WOODHAVEN 
37|MS01|150|US 963290743 7020 DOGWOOD 
14|MS01|151|US 981498329 1771 FIDDLERS 
49|MS01|152|US 981878343 3527 TRAILSEND 
